n_instancias,dimensiones,cohesion,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,silhouette_global,linkage,metric,p,pca,poda,ARI_Train,NMI_Train,FMI_Train,Purity_Train,Hungarian_accuracy_Train,ARI_test,NMI_test,FMI_test,Purity_test,Hungarian_accuracy_test
900,600,2.982072608277731,6.3201495018336376,3.8131601185418496,11.301308722883514,0.12777640657482894,single,euclidean,1,600,4,0.00018108409800363822,0.12156134786589592,0.18823541583179573,0.1507996953541508,0.12718964204112718,-0.0021359497475994167,0.1258020752560159,0.16850799030942246,0.13497652582159625,0.11854460093896714
900,600,3.243331139553883,6.717359365643469,4.640717245336445,10.084284752851174,0.10976094408293478,single,euclidean,1,600,4.3,-0.0005341473016416693,0.05191240320877613,0.1974342554195412,0.12718964204112718,0.12261995430312261,-0.0002302678719091217,0.06217361303062442,0.18659561285396978,0.11502347417840375,0.11267605633802817
900,600,3.3612702018865077,6.840097645524524,5.011306850610984,8.187900106232728,0.1793509277529769,single,euclidean,1,600,4.6,7.590079563830619e-05,0.01733953337164434,0.20351188974050735,0.11957349581111958,0.11957349581111958,0.0006793677904237946,0.029254227035816757,0.19761864661691841,0.1068075117370892,0.1068075117370892
900,450,2.9763286819753723,6.317304504755688,3.8096457213430495,11.299451290896524,0.12832712821415762,single,euclidean,1,450,4,0.00018108409800363822,0.12156134786589592,0.18823541583179573,0.1507996953541508,0.12718964204112718,-0.0021359497475994167,0.1258020752560159,0.16850799030942246,0.13497652582159625,0.11854460093896714
900,450,3.237621866002744,6.71508411239775,4.635823630747303,10.082699249681184,0.11038868026507999,single,euclidean,1,450,4.3,-0.0005341473016416693,0.05191240320877613,0.1974342554195412,0.12718964204112718,0.12261995430312261,-0.0002302678719091217,0.06217361303062442,0.18659561285396978,0.11502347417840375,0.11267605633802817
900,450,3.3627264451424645,6.784510010915196,5.00951987173723,8.186427541683821,0.18138613882529117,single,euclidean,1,450,4.6,4.916910440170036e-05,0.014891825044216963,0.20376343259525034,0.1188118811881188,0.1188118811881188,0.0009592800501677231,0.02223477444015851,0.2008791914349233,0.1068075117370892,0.1068075117370892
900,300,2.9957982915720622,6.341269290480179,4.019761056992017,11.290577259623454,0.12441127435805174,single,euclidean,1,300,4,-0.0007261030839229566,0.11109646526803875,0.1879925877268269,0.14775323686214775,0.12642802741812642,-0.0019288952967007854,0.12401908524100873,0.16986150733495284,0.13497652582159625,0.11971830985915492
900,300,3.2343537565829923,6.696039120568464,4.6087223085274465,10.073153844350657,0.1097661017790812,single,euclidean,1,300,4.3,-0.000791640040772987,0.047575830138519536,0.19731841643324816,0.12566641279512566,0.1210967250571211,-0.00045190704969808374,0.05687697835425836,0.1889089996613741,0.11384976525821597,0.11150234741784038
900,300,3.3440109299847145,6.774079613283677,5.002404560175163,8.178991912066623,0.18335106117493624,single,euclidean,1,300,4.6,4.916910440170036e-05,0.014891825044216963,0.20376343259525034,0.1188118811881188,0.1188118811881188,0.0009592800501677231,0.02223477444015851,0.2008791914349233,0.1068075117370892,0.1068075117370892
900,150,3.1048677388942147,6.645198803642889,4.394371581668559,11.225726528944136,0.1096244152998356,single,euclidean,1,150,4,-0.00016058188261822783,0.06462204691165006,0.19655983264670274,0.13175932977913177,0.12490479817212491,-0.0015701867929536785,0.0790895355574543,0.17852335864998126,0.11737089201877934,0.11150234741784038
900,150,3.221652053368966,6.771931034524012,4.429347216419738,9.99742641494815,0.11835524430309259,single,euclidean,1,150,4.3,-0.00023585619194866307,0.030356638606172957,0.2010749651680104,0.12261995430312261,0.1210967250571211,0.0003509469212135767,0.04423913507420567,0.19401003646553722,0.11150234741784038,0.11032863849765258
900,150,3.3005292283999017,6.301966573485854,5.315043119127719,7.0666262495385626,0.24993179095394288,single,euclidean,1,150,4.6,-0.0001451778258108053,0.00627327142983401,0.2042522803737075,0.11576542269611577,0.11576542269611577,-1.376751770742679e-05,0.004749354983236521,0.20096026348466803,0.10328638497652583,0.10328638497652583
900,600,1.8097676737639072,5.214955861880706,1.230897312211152,11.301292886096784,0.15116523167330287,complete,euclidean,1,600,4,0.00964143812116563,0.36508499138064754,0.03603584656755433,0.297029702970297,0.09977151561309977,0.007863276278805429,0.3468295141400034,0.036380541913532884,0.24295774647887325,0.11971830985915492
900,600,2.027687008638126,5.13181739911712,1.0910410254023495,11.301277679325166,0.09591815964459326,complete,euclidean,1,600,4.3,0.011028232744271812,0.32753136545164685,0.04056436352446368,0.261995430312262,0.10738766184310738,0.009812671711541364,0.32302653457656755,0.04125721528289751,0.22652582159624413,0.12323943661971831
900,600,2.1771128821228785,5.146909528673708,1.0851756557061334,11.30128796252991,0.07350299490561762,complete,euclidean,1,600,4.6,0.009817521058472898,0.28927484038528833,0.04771597970911856,0.23000761614623,0.115003808073115,0.01117004161094661,0.29071874905521056,0.04802093167553305,0.20657276995305165,0.1255868544600939
900,450,1.8084370803028427,5.238441380951488,1.1352598651199637,11.299354774506567,0.149202325107456,complete,euclidean,1,450,4,0.010612611335091704,0.3680071634921935,0.03666291982095492,0.2977913175932978,0.10281797410510282,0.009890702361628588,0.34751164800305484,0.03854298224331146,0.23708920187793428,0.12910798122065728
900,450,2.0380475799582523,5.16830536703068,1.1281726734043653,11.299451595313501,0.09916294348514884,complete,euclidean,1,450,4.3,0.011225113570644233,0.32184063430963905,0.04485692060406634,0.25666412795125665,0.10967250571210967,0.009518168945090432,0.30624601135412016,0.04385162750354282,0.21948356807511737,0.12793427230046947
